"url","audit_dir","status","source","score","title","error"
"https://iboltmounts.com/blogs/news/embarking-on-a-fishing-adventure-choosing-the-right-mount-for-your-fish-finder","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","59","EMBARKING ON A FISHING ADVENTURE: CHOOSING THE RIGHT MOUNT FOR YOUR FISH FINDER",""
"https://iboltmounts.com/blogs/news/using-ibolt-s-stream-cast-creator-custom-mount-kit-for-multiple-angle-shots","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","59","USING IBOLT’S STREAM-CAST CREATOR CUSTOM MOUNT KIT FOR MULTIPLE ANGLE SHOTS",""
"https://iboltmounts.com/blogs/news/top-5-mounts-for-the-samsung-galaxy-a7-lite-tablet","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","51","TOP 5 MOUNTS FOR THE SAMSUNG GALAXY A7 LITE TABLET",""
"https://iboltmounts.com/blogs/news/how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","51","HOW TO MOUNT A FISH FINDER TO YOUR BOAT USING IBOLT MOUNTS",""
"https://iboltmounts.com/blogs/news/what-size-is-the-ball-mount-on-a-garmin-gps-and-how-do-i-find-a-compatible-mount","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","67","WHAT SIZE IS THE BALL MOUNT ON A GARMIN GPS AND HOW DO I FIND A COMPATIBLE MOUNT?",""
"https://iboltmounts.com/blogs/news/how-to-use-ibolt-s-modular-mounting-system","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","59","HOW TO USE IBOLT’S MODULAR MOUNTING SYSTEM",""
"https://iboltmounts.com/blogs/news/the-best-tablet-stands-for-students-going-back-to-school","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","51","TOP TABLET STANDS FOR STUDENTS GOING BACK TO SCHOOL",""
"https://iboltmounts.com/blogs/news/how-to-mount-a-tablet-to-a-forklift-pillar-using-ibolt","live-blog-ai-citability-2026-06-18T00-33-39-067Z","ok","public","59","HOW TO MOUNT A TABLET TO A FORKLIFT PILLAR USING IBOLT",""
"https://iboltmounts.com/blogs/news/embarking-on-a-fishing-adventure-choosing-the-right-mount-for-your-fish-finder","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","59","EMBARKING ON A FISHING ADVENTURE: CHOOSING THE RIGHT MOUNT FOR YOUR FISH FINDER",""
"https://iboltmounts.com/blogs/news/using-ibolt-s-stream-cast-creator-custom-mount-kit-for-multiple-angle-shots","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","59","USING IBOLT’S STREAM-CAST CREATOR CUSTOM MOUNT KIT FOR MULTIPLE ANGLE SHOTS",""
"https://iboltmounts.com/blogs/news/top-5-mounts-for-the-samsung-galaxy-a7-lite-tablet","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","51","TOP 5 MOUNTS FOR THE SAMSUNG GALAXY A7 LITE TABLET",""
"https://iboltmounts.com/blogs/news/how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","51","HOW TO MOUNT A FISH FINDER TO YOUR BOAT USING IBOLT MOUNTS",""
"https://iboltmounts.com/blogs/news/what-size-is-the-ball-mount-on-a-garmin-gps-and-how-do-i-find-a-compatible-mount","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","67","WHAT SIZE IS THE BALL MOUNT ON A GARMIN GPS AND HOW DO I FIND A COMPATIBLE MOUNT?",""
"https://iboltmounts.com/blogs/news/how-to-use-ibolt-s-modular-mounting-system","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","59","HOW TO USE IBOLT’S MODULAR MOUNTING SYSTEM",""
"https://iboltmounts.com/blogs/news/the-best-tablet-stands-for-students-going-back-to-school","live-blog-ai-citability-2026-06-18T00-33-45-323Z","ok","public","51","TOP TABLET STANDS FOR STUDENTS GOING BACK TO SCHOOL",""
